LocationCode,Client_Name,DirID,Data_Signals,Time_Entries_This_Month,Recipient_Emails,Recipient_Source
AAVA,Aventine at Aliso Viejo Apartments,6989,"cp,huntress,crowdstrike",22,melissa@aventine-apartments.com,contract_signer
ACU,Acuity Advisors,7139,"cp,huntress,crowdstrike",6,ckramer@acuityadvisors.com,contract_signer
AFFG,American Fundstars Financial Group LLC,8141,"cp,huntress,crowdstrike",9,iris.liu@americanfundstars.com,contract_signer
ALG,Algro International,7923,"cp,huntress,crowdstrike",32,Deepak@algrointernational.com,contract_signer
ANI,"Andersen Industries, Inc.",13,"cp,huntress,crowdstrike",29,dave@andersenmp.com,portal_designation
AOC,Apartment Association of Orange County,6270,"cp,huntress,crowdstrike",21,cordero@aaoc.com,contract_signer
B2I,B2 Insurance,19,"cp,huntress,crowdstrike",62,mnguyen@technijian.com,contract_signer
BST,Boston Group,6247,"cp,crowdstrike",66,jklein@bostongroupwaste.com,contract_signer
BWH,Brandywine Homes,6245,"cp,huntress,crowdstrike",167,dave@brandywine-homes.com,contract_signer
CBI,Christian Brothers Interiors,7826,"cp,huntress,crowdstrike",14,rjain@technijian.com,contract_signer
CBL,Chris Bank Law,5664,"cp,huntress,crowdstrike",3,rjain@technijian.com,contract_signer
CCC,Culp Construction Company,5914,"cp,huntress,crowdstrike",11,khartshorn@culpco.com,contract_signer
DTS,Disruptix Talent Solutions,8052,"huntress,crowdstrike",0,jen@disruptixtalent.com,contract_signer
EBRMD,"Ernest B Robinson, MD, PC",8027,"cp,huntress,crowdstrike",79,basalcell@hotmail.com,contract_signer
HHOC,Housing for Health OC,7280,"cp,huntress,crowdstrike",26,Heather.s@housingforhealthoc.org,contract_signer
ISI,International Sportsmedicine Institute,76,"cp,huntress,crowdstrike",25,sdkamm@yahoo.com,portal_designation
JDH,JDH Pacific,5887,"cp,huntress,crowdstrike",96,rjain@technijian.com,contract_signer
JSD,Jerry Seiner Dealerships,7958,huntress,0,rjain@technijian.com,contract_signer
KES,KES Homes,7930,"cp,huntress,crowdstrike",5,heather@kes-homes.com,contract_signer
MAX,Max Pro Leasing,5768,"cp,huntress,crowdstrike",16,finance@technijian.com,contract_signer
NOR,Hotel Normandie,2868,"cp,huntress,crowdstrike",20,ap@hotelnormandiela.com,portal_designation
ORX,Ortho Xpress,108,"cp,huntress,crowdstrike",221,accounting@orthoxpress.com,portal_designation
RSPMD,Rosalina See - Prats M.D.,129,"huntress,crowdstrike",0,alagrosa@yahoo.com,portal_designation
SAS,Strategic Air Services,5985,"cp,huntress,crowdstrike",6,rjain@technijian.com,contract_signer
SGC,Siege Consulting,7946,"huntress,crowdstrike",0,carol@siegeconsulting.com,contract_signer
TALY,Talley & Associates,7728,"cp,huntress,crowdstrike",4,rob@talleyassoc.com,contract_signer
VAF,Via Auto Finance,5941,"cp,huntress,crowdstrike,umbrella",46,rjain@technijian.com,contract_signer
VG,Vintage Group,5839,"cp,huntress,crowdstrike",38,colleen@vintagegroupre.com,contract_signer
